epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,167.122,1.7795,1.44838,2.42654,0.78681,0.77778,0.87082,0.54213,1.37431,1.37454,2.32649,0.00151022,0.00151022,0.00151022
97,168.435,1.74761,1.34708,2.41446,0.8291,0.77778,0.87748,0.54902,1.27553,1.26141,2.2524,0.00150857,0.00150857,0.00150857
98,170.024,1.68545,1.49051,2.29735,0.72922,0.88889,0.87176,0.53929,1.31494,1.2373,2.27797,0.00150692,0.00150692,0.00150692
99,171.482,1.48494,1.36281,2.24743,0.82745,0.77692,0.8652,0.49127,1.58455,1.23336,2.58166,0.00150527,0.00150527,0.00150527
100,173.058,1.65914,1.59194,2.34859,0.88122,0.77778,0.87268,0.54888,1.30316,0.96802,2.2257,0.00150362,0.00150362,0.00150362
101,174.486,1.58084,1.27402,2.30845,0.89217,0.75068,0.8993,0.55092,1.42965,0.95689,2.36873,0.00150197,0.00150197,0.00150197
102,175.876,1.64224,1.3725,2.27475,0.9695,0.85197,0.92452,0.50706,1.35339,0.94972,2.33113,0.00150032,0.00150032,0.00150032
103,177.307,1.57434,1.25883,2.29758,0.90149,0.85598,0.86179,0.4523,1.55617,0.9959,2.54621,0.00149867,0.00149867,0.00149867
104,178.876,1.64807,1.30997,2.28268,0.95793,0.67292,0.85878,0.46265,1.30247,1.02577,2.29207,0.00149702,0.00149702,0.00149702
105,180.468,1.60137,1.37476,2.19813,0.94909,0.65339,0.84783,0.47943,1.61205,1.11769,2.61649,0.00149537,0.00149537,0.00149537
106,181.754,1.71866,1.25382,2.43352,0.94021,0.68503,0.89562,0.48071,1.7255,1.10752,2.72099,0.00149372,0.00149372,0.00149372
107,183.141,1.63081,1.32796,2.3369,0.85147,0.74543,0.90189,0.51774,1.55547,1.0174,2.54433,0.00149207,0.00149207,0.00149207
108,184.82,1.49628,1.25995,2.24378,0.87622,0.85773,0.9059,0.44775,1.61353,1.1906,2.65413,0.00149041,0.00149041,0.00149041
109,186.248,1.46626,1.24278,2.22987,0.88823,0.66667,0.83619,0.42275,1.46438,1.15213,2.39685,0.00148876,0.00148876,0.00148876
110,187.708,1.579,1.34965,2.30648,0.81837,0.77778,0.86096,0.48681,1.38277,1.10376,2.28662,0.00148711,0.00148711,0.00148711
111,189.256,1.42846,1.21772,2.15072,0.66782,0.87972,0.87602,0.5415,1.30273,1.0326,2.18341,0.00148546,0.00148546,0.00148546
112,190.724,1.55406,1.38625,2.2304,0.85646,0.85776,0.92853,0.57905,1.23917,0.9144,2.17171,0.00148381,0.00148381,0.00148381
113,192.14,1.81749,1.18156,2.41449,0.85785,0.87733,0.90751,0.51638,1.40515,0.98907,2.43631,0.00148216,0.00148216,0.00148216
114,193.495,1.69759,1.22653,2.37377,0.83194,0.83235,0.87994,0.55159,1.34913,0.95343,2.25909,0.00148051,0.00148051,0.00148051
115,194.908,1.43637,1.0878,2.14487,0.80241,0.88889,0.88766,0.5097,1.60911,0.96698,2.64323,0.00147886,0.00147886,0.00147886
116,196.413,1.50244,1.30208,2.25798,0.79919,0.87075,0.91252,0.4999,1.46846,1.01291,2.2909,0.00147721,0.00147721,0.00147721
117,197.816,1.61059,1.306,2.26307,0.94937,0.82487,0.91669,0.56341,1.46202,1.00912,2.3738,0.00147556,0.00147556,0.00147556
118,199.337,1.43177,1.16613,2.17409,0.92072,0.80556,0.91181,0.49579,1.60379,1.10391,2.67087,0.00147391,0.00147391,0.00147391
119,200.865,1.57417,1.2319,2.18582,0.91814,0.96313,0.97178,0.57544,1.38346,1.04867,2.29857,0.00147226,0.00147226,0.00147226
120,202.318,1.52332,1.22392,2.1775,0.88112,0.91956,0.9351,0.5793,1.43013,1.06176,2.41568,0.00147061,0.00147061,0.00147061
121,203.665,1.52794,1.1695,2.10784,0.89135,0.93402,0.93753,0.62366,1.24145,1.00982,2.18551,0.00146896,0.00146896,0.00146896
122,205.268,1.46363,1.18037,2.09515,0.87425,0.8684,0.9127,0.56999,1.32346,0.93422,2.32978,0.00146731,0.00146731,0.00146731
123,206.602,1.51376,1.13325,2.14792,0.95158,0.77378,0.89687,0.54758,1.35215,0.96027,2.32445,0.00146566,0.00146566,0.00146566
124,208.082,1.64251,1.21998,2.17795,0.93543,0.96042,0.96234,0.57761,1.37233,0.8048,2.27871,0.00146401,0.00146401,0.00146401
125,209.476,1.48292,1.14126,2.03939,0.89905,0.93312,0.95508,0.55618,1.39471,0.88887,2.38562,0.00146236,0.00146236,0.00146236
126,210.906,1.56159,1.11808,2.19776,0.91634,0.92013,0.96722,0.52656,1.34425,0.98624,2.33738,0.00146071,0.00146071,0.00146071
127,212.212,1.3274,1.0068,1.9989,0.84238,0.8993,0.93373,0.50875,1.48485,1.00973,2.47905,0.00145906,0.00145906,0.00145906
128,213.593,1.39422,1.01989,2.05937,0.83756,0.92573,0.9208,0.55236,1.54176,1.00696,2.49115,0.00145741,0.00145741,0.00145741
129,215.815,1.43641,1.14754,2.0447,0.93431,0.93627,0.96528,0.64637,1.17031,0.8736,2.01335,0.00145576,0.00145576,0.00145576
130,217.151,1.6451,1.16359,2.19167,0.94955,0.99107,0.98789,0.66957,1.26345,0.82434,2.10252,0.00145411,0.00145411,0.00145411
131,218.613,1.47679,1.1768,2.16316,0.94077,0.83333,0.97618,0.64812,1.26793,0.96759,2.13197,0.00145246,0.00145246,0.00145246
132,219.992,1.35991,1.09394,2.08508,0.95739,0.91667,0.94574,0.56898,1.23117,0.94576,2.1182,0.00145081,0.00145081,0.00145081
133,221.432,1.38808,1.0261,2.09888,0.87072,0.93533,0.91679,0.53788,1.36178,1.10383,2.38498,0.00144916,0.00144916,0.00144916
134,222.884,1.49659,1.06176,2.20522,0.82539,0.93843,0.93757,0.6227,1.17137,0.95212,2.04371,0.00144751,0.00144751,0.00144751
135,224.274,1.26761,1.14248,1.98498,0.87153,0.97222,0.96048,0.6442,1.12035,0.97154,1.95599,0.00144586,0.00144586,0.00144586
136,225.877,1.3699,1.11088,2.05965,0.91933,0.97222,0.96801,0.56187,1.36575,1.03922,2.33951,0.00144421,0.00144421,0.00144421
137,227.326,1.41845,1.05388,1.99762,0.93629,0.82058,0.91135,0.50222,1.43112,0.99207,2.30249,0.00144256,0.00144256,0.00144256
138,228.747,1.29876,1.12623,2.0435,0.90734,0.90298,0.92693,0.56917,1.37966,0.9477,2.34306,0.0014409,0.0014409,0.0014409
139,230.79,1.30909,1.01691,2.01057,0.86391,0.93982,0.94561,0.62873,1.2057,0.88599,2.10759,0.00143925,0.00143925,0.00143925
140,232.34,1.41781,1.15553,2.04792,0.94404,0.94444,0.98356,0.62159,1.40809,0.9208,2.31488,0.0014376,0.0014376,0.0014376
